,text,meta_text
1528,i would be interested in purchasing the wifi webcam for how about 25 dollars ? ,counter-price
1529,"unless you're throwing in some jack daniel's , too , the lowest i can go is $35 . ",counter-price
1530,i will throw in a bottle of generic 5 dollar whiskey on top of 27 dollars for the motorola wi-fi pet video camera . ,counter-price
1531,fine . ,agree
1532,<end>,<end>
1533,nice place you got here . does it have a parking space ? ,inquire
1534,"hello there , how are you today ? ",intro
1535,yes we do have one parking space available ,inform
1536,i'm great . and the parkign space helps . ,inform
1537,this is a bit over my price range . ,vague-price
1538,"what if i sign a 1 year lease , what's my rent then ? ",inquire
1539,i am glad to hear that you are great ! well you have to bear in mind that all utilities and internet are included and also you have a full kitchen as well . if you sign a 1 year lease i can give it to you for $1400 ,init-price
1540,"yeah , that's still too high . , i can do 2 year lease for 900 , how does that sound ? ",counter-price
1541,$900 is a bit low for us . ,vague-price
1542,we are centrally located so you have a lot of stores nearby . it is a very convenient location and also we have a list of people who are also interested especially because of location . ,supplemental
1543,the lowest i am willing to go is $1350 ,counter-price
1544,"i see , well good luck to you . this won't work for me ",disagree
1545,<end>,<end>
1546,"hello , i'm interested in your civic , can you tell me more about it ? ",inquire
1547,"good little car , great gas mileage . only 60k original miles . i used it to commute to back and forth to work . no issues that i can think of , just a nice little car that is cheap to drive . ",inform
1548,what kind of gas mileage does it get ? ,inquire
1549,i am averaging around 30 city/ 37 highway . ,inform
1550,"that's good , but i'm not so sure i want to pay so much for such an old car . how about $4600 ? ",init-price
1551,i couldn't come down nearly that low . ,disagree
1552,"car is in great shape , and only 60k miles . this car is good for at least another 140k miles , perhaps more with really good care . ",supplemental
1553,i could come down to $6000 if that helps you . ,counter-price
1554,"i suppose i could stretch that much in a month or two , but right now the most i can do is $5500 . ",counter-price
1555,"cash in hand , you pick up today , i will go to $5500 . ",agree
1556,sounds good . thanks for negotiating . ,agree
1557,<end>,<end>
1558,"hello , are you interested in this apartment complex ? ",intro
1559,"i am , how much is a 2 bedroom , the ad doesn't specify bedrooms available ",inquire
1560,our ad is actually the price for a 2 bedroom ! it is 979 ,init-price
1561,"oh i see , and how much is a 1 bedroom ? ",inquire
1562,we only have 2 and 3 bedrooms available ! ,inform
1563,"that's too bad , i'm on a tight budget . would you be willing to accept me for $600 per month ? ",counter-price
1564,"there is unfortunately no way for me to lower the price that low but , what i can do for you is waive the pet deposit and give you 3 visits free to our pet spa . you can also save money by cancelling your gym membership since we have one on-site included in your monthly rent ! ",vague-price
1565,"my budget will allow me to go up to $650 only but i have a proposition . i own my own construction company . i would be able to have my crew fix any repairs as long as i'm living there , free of charge ! that would save you hundreds , maybe thousands over the year ! what do you say , $650 ? ",counter-price
1566,<end>,<end>
1567,hi are you interested in the apartment ? ,intro
1568,i am . what size is it ? ,inquire
1569,"we have multiple sizes avaible to lease , our most popular option is the 2 bedroom , 2 bath option and that includes full utilities . ",inform
1570,oh ok so is it the 2/2 that is 979 ? ,inquire
1571,yes it is . ,inform
1572,are you attending berkeley as a student ? ,inquire
1573,actually a teaching internship . ,inform
1574,do you have say a studio available ? ,inquire
1575,i really have no use for something so big and was hoping to stay more in the $400 range . ,init-price
1576,we do have studios avaiable for lease . our studios are top of line and perfect for residents who only need a single room . ,supplemental
1577,that is really what i need what is the price on those ? ,inquire
1578,we are currently leasing studios at $979 a month but i'm willing to bargain with you if you can move in soon . ,counter-price
1579,wait your studios are the same price as your 2 bed 2 bath how does that work ? ,inquire
1580,yes they are but the studios are around the same size as the 2 bed 2 bath apartments and the studios have balcony access and special parking permits . ,inform
1581,wow that is a big studio . well as i said i was trying to stay around 400 i could do 550 since it does include utilites . if you can work with that price i will even sign a 2 year lease . ,counter-price
1582,okay i can $550 if you sign the 2 year lease and agree to move in by the end of this month . ,counter-price
1583,<end>,<end>
1584,"hello , i am intersted in the iphone 6 . ",intro
1585,will i be able to use it on any network ? ,inquire
1586,"hi , this is a great deal for this iphone . completely unlocked , yes any network . ",inform
1587,are there any problems with it ? ,inquire
1588,there are a couple of dings around the edges and it has a new screen with a screen protector . ,inform
1589,so it has been dropped a few times ? ,inquire
1590,"no , its just normal wear and tear . never dropped . ",inform
1591,"ok , is the ios up to date ? ",inquire
1592,it has ios 10 . 3 . 2 ,inform
1593,would you be willing to sell for 200 ? ,init-price
1594,i cannot go that low . ,disagree
1595,the phone is in good shape and it has a new screen with protector and it is completly clean ,supplemental
1596,do i have to pay for shipping ? ,inquire
1597,"it depends on where you are located . if you are local , i can deliver . ",inform
1598,i can do 250 then ,counter-price
1599,"i was looking to get a little bit more for it then that , considering it can be used on any network . how about $300 with overnight shipping ",counter-price
1600,"i really can't go that high and i need a good phone , 260 ? ",counter-price
1601,i can do $275 with standard shipping . ,counter-price
1602,275 and you deliver tomorrow ,counter-price
1603,i cant do the delivery tomorrow with that low of a price . this is a great phone and you would get a lot of use out of it . ,disagree
1604,"yea , i really need it so you have a deal ! ",agree
1605,great ,thanks
1606,<end>,<end>
1607,will you be able to pick it up ? ,inquire
1608,i'll pick it up for the right price . $297 . 00 okay ? ,init-price
1609,yeah . its been listed for a while and i'm ready to let it go . ,agree
1610,<end>,<end>
1611,i understand you are interested in my iphone 6 . what questions do you have for me ? ,intro
1612,"i see that it is unlocked which is a bonus . how is the casing though ? any cracks , dents or scratches ? ",inquire
1613,"i have had a case on it the whole time i have had it , i just took it off for the picture . it is in really good condition . ",inform
1614,"okay . 16 gigs does not seem bad , though i was looking for more storage space . ",supplemental
1615,"i never had a problem with running out of storage with 16 gigs . its hard to find the 32gigs at a decent price though . i am just wanting to sell this one , i decided to upgrade to the iphone 7 . ",supplemental
1616,<end>,<end>
1617,hey ! saw your listing for the 2 magna bikes and would be interested in them for my kids . ,intro
1618,looks like a little damage on them though . would you be able to part with them for $15 ? ,init-price
1619,not to much damage . mainly need tire tubes and the seats have a little wear . ,inform
1620,i was trying to ger $25 out of them . ,counter-price
1621,"yeah , it's the seats and tubes i was looking at . i'd have to get new ones . i'd be willing to meet you at $20 and i will pick up if you will replace one of the two , whichever is cheapest for you . ",counter-price
1622,i have some decent used seats i could throw on them . wouldn't be a new replacement . is that okay by you ? ,inquire
1623,that would work for me ! ,agree
1624,<end>,<end>
1625,thanks for your interest ,intro
1626,i would love to have the phone but is it free from any financial obligations ? ,inquire
1627,"yes , you would have to set up an account with a provider after you purchase it . ",inform
1628,since the phone says at&t do i have to contract through at&t ? ,inquire
1629,"if so why don""t we lower the price to 100 . 00 . ",init-price
1630,"yes it has to be at&t if you keep it ""as is . ",inform
1631,""" however , i'm a hardware engineer and can unlock the phone for you ! that way you can set it up on any network . for that i would ask $160 . ",counter-price
1632,i think that this acceptable . ,agree
1633,"great , i'll accept your offer ! ",agree
1634,<end>,<end>
1635,hello how are you today ? ,intro
1636,are you interested in our beautiful and cozy studio apartment for the low price of $1500 ? ,init-price
1637,i like the look of it . does it come furnished ? ,inquire
1638,no it does not come furnished but it has a full kitchen and it is centrally located to everything . ,inform
1639,you would love living here . all utilities and internet are included too . ,supplemental
1640,<end>,<end>
1641,"hi , do you have any questions ? ",intro
1642,"hi , i am looking for an apartment> ",intro
1643,any requirements ? ,inquire
1644,i need would like a two bedroom . ,inform
1645,<end>,<end>
1646,hi there . can you tell me what type of fabric is on the seat cushions ? ,inquire
1647,it is antique suntella fabric ,inform
1648,will you take $135 ? ,init-price
1649,<end>,<end>
1650,hi ! i am very interested in your pet cambera ! ,intro
1651,"cool , it's in great shape . ",supplemental
1652,"i only have a 35 budget but , i also have a bottle of whiskey i was just gifted for my birthday but . . . i dont drink whiskey . since it looks like you do , i was wondering if you would take 35 plus a brand new bottle of whiskey ? given the camera is in working condition . ",init-price
1653,what brand is the whiskey ? ,inquire
1654,jack daniels ,inform
1655,"how big is the bottle , a pint ? ",inquire
1656,it is a 40 oz bottle ! ,inform
1657,sounds good . ,agree
1658,<end>,<end>
1659,"hi , i saw your note about this listing . are you still interested ? sorry i couldn't contact earlier ",intro
1660,"i'm still interested ! did you do the work on it , or have it done ? ",inquire
1661,"yes , it's a top notch custom job . . . everything is custom except the frame :d . ",inform
1662,how about 425 ? ,init-price
1663,425 is a little rich for my blood . i'm going to have to get it painted before i can give it to my kid . ,vague-price
1664,i have spent more than 350 on modifications . . can you do 375 with you arranging pickup ? i am in a hurry . ,counter-price
1665,"sure , that would work . deal ! ",agree
1666,great ,thanks
1667,<end>,<end>
1668,hello ,intro
1669,"hi , i am interested in these chairs , can you tell me more ? ",intro
1670,"yes , they are in great condition and are heavy and have a hand made wrought iron frame . they are very unique . ",inform
1671,how old are they ? ,inquire
1672,"only a couple of years . but , they look brand new . ",inform
1673,can i take them off your hands for $135 then ? ,init-price
1674,hoe bout we do 140 and i deliver them to you myself ? ,counter-price
1675,that works for me then . thanks . ,agree
1676,<end>,<end>
1677,looking to sell this phone asap . ,intro
1678,"awesome , i am looking to buy a phone so hopefully we can reach a deal . ",intro
1679,does it have any scratches on it ? ,inquire
1680,it has one tiny scratch on the back . functionality is flawless ,inform
1681,great . i can handle a small scratch . how long have you had it ? ,inquire
1682,6 months ,inform
1683,"wow , so it is practically a new phone . would you be willing to meet me at the at&t store to make sure there are no problems ? ",inquire
1684,"sure , what's your offer if everything checks out ? ",inquire
1685,"i really was only looking to spend a hundred dollars on a phone , but i could negotiate the deposit fee to have it held . ",init-price
1686,how about $110 ? ,counter-price
1687,i think that is fair . i will submit my offer . ,agree
1688,thanks ! ,thanks
1689,<end>,<end>
1690,"hello , are you interested for the tv ? ",intro
1691,"hi i am on a budget but am interested in your tv , would you be willing to accept 875 for it ? ",init-price
1692,"i think my starting offer is really low , but i will accept 950 and the delivery cost is on me ! ",counter-price
1693,okay that sounds pretty good to me ! ,agree
1694,<end>,<end>
1695,this is a perfect little studio for berkely students . you can walk to classes ,supplemental
1696,hi i'm allergic to pollen so the outside without my car or other protective gears is not an option for me . ,supplemental
1697,"i was hoping that you could tell me about the apartment inside , is it clean and also i cannot pay 1500 total , are you able to go down and or guarantee the air is nice ? ",inquire
1698,"air will be as nice as berkeley air can be . you'll have to deal with your condition on your own , but there is no more pollen here than anywhere else in berkeley . and all utilies and internet is included . all you do is pay rent and you're done for the month . ",inform
1699,hmm you make a good point here my friend . so are you able to help me out and to lower the cost for my budget at all of 1200 ? ,init-price
1700,"1200 is a bit too low , tell you what , if you sign a 2 year lease , i can give it to you for 1300 a month ",counter-price
1701,okay that sounds fine to me ! ,agree
1702,then we havea deal ,agree
1703,yes and thank you ! ,thanks
1704,<end>,<end>
1705,"hi , how are you ? are you interested in this listing ? ",intro
1706,yeah there are a lot of features that would work well for me ,inform
1707,that is great to hear ! do you have any questions ? ,intro
1708,it is only a one bedroom so i think the price is slightly above my budget . ,vague-price
1709,<end>,<end>
1710,hey this is a great place in a great neighborhood . ,intro
1711,"hi i would like to offer $1150 for the duplex , i can move in tomorrow and pay in cash . ",init-price
1712,i can do 1100 if you take all the utilities but i can only go as low as 1600 . 00 if i am paying the utilities . ,counter-price
1713,i'll take that offer but you have to buy a 40 inch tv ,agree
1714,i have the 40 inch smart tv ready to be installed so make the offer . ,agree
1715,<end>,<end>
1716,hello ,intro
1717,hi ,intro
1718,how much for the current vehicle ? ,inquire
1719,6500,init-price
1720,does this car come with a warranty ,inquire
1721,"if you are interested in a warranty , i can provide one . ",inform
1722,would that be an additional feel; all i have to offer is about $5850 ,init-price
1723,no additional fee for the warranty but i would need to get close to my asking price with the warranty . i would be willing to accept $6300 . ,counter-price
1724,beyond the listed is there anything else that would come with the car like perhaps an alarm system ? ,inquire
1725,no there is no alarm system . ,inform
1726,i can offer $6100 ,counter-price
1727,i can split the difference and meet you at $6200 . ,counter-price
1728,$6150 ? ,counter-price
1729,"$6,175 ",counter-price
1730,deal ,agree
1731,great ,thanks
1732,<end>,<end>
1733,hi is the apartment still avaible ? ,inquire
1734,yes it is ! ,init-price
1735,its going for $3995 right now . anything you would like to know ? ,intro
1736,yes i have a few questions . are utilities included in the rent ? and what's the closest transist line to the building ? ,inquire
1737,utilities are included first 3 months . its within walking distance of ac transit lines . ,inform
1738,"ok great , well i'm very interested in the place and need to find somewhere to live asap but the $3995 is a little too high for my budget . could we possibly work out a deal if i sign a 2 year lease ? ",vague-price
1739,yes for sure . lets call the first year $3500 and second year $3900 . deal ? ,init-price
1740,that would work for me . ,agree
1741,thank you so much ! ,thanks
1742,"awesome , i'll get the paperwork completed right away ! ",agree
1743,<end>,<end>
1744,hi i am trying to find the right owner for my bike what is your budget ? ,inquire
1745,306 ? ,init-price
1746,"i am supposed to go no lower than 350 (this is according to my wife) she will probably be so mad at me if i don't get at least that , what do you say ? ",counter-price
1747,i can go up to 315 . ,counter-price
1748,dang what if we call it 330 and i will throw in the extra 20 so i don't get in trouble and then also i will give you some books on bmx stuff ? ,counter-price
1749,"they teach you all types of neat things about riding and other things , are you interested ? ",supplemental
1750,deal ! ,agree
1751,alright ! ,thanks
1752,<end>,<end>
1753,hey there ! ,intro
1754,hi what is your budget for the bike ? ,inquire
1755,"i'd like to get one for around $770 but then i found your bike , it seems like a really nice bike with great features and in great condition . ",init-price
1756,anything else you can tell me about it ? ,inquire
1757,yes this was passed down by what we call celebrity fam . this is where the bicycle was used by a celeb for one month and then they gifted it to another celeb . so if you buy you will be getting a great bike with an even better history ! ,inform
1758,oh wow that sounds awesome . could you sell it for $900 and i'll come and pick it up from your place ? ,counter-price
1759,"absolutely , you've got yourself a deal ! ",agree
1760,awesome thanks ! ,thanks
1761,<end>,<end>
1762,hi how are you ? ,intro
1763,good thank you . ,intro
1764,so i have a beautiful apartment available it has all utilities and internet included in the 1500 dollar price . ,init-price
1765,it is in a premium area and is only a 7 minute walk to the bart station so you can get anywhere ! ,supplemental
1766,"i can tell by the photo that the apartment is in good shape , however i think that 1500 for that area is a little steep . would you be willing to negotiate the price with me ? ",vague-price
1767,i can go a little lower does 1250 suit you a little better ? ,counter-price
1768,"i can tell that you have kept the apartment in pristine shape and really seem to care about it . i am an excellent tenant and will treat the property as if it were my own . my budget only allows for 1050 , but i can also mow the lawn and do the outdoor upkeep if you are willing . ",counter-price
1769,yes that will work perfectly now i wont have to arrange for upkeep of the lawn ! ,agree
1770,<end>,<end>
1771,you still have the bmx bike ? ,inquire
1772,"yes , still have it for sale . ",inform
1773,"good , i am interested . i see it has a lot of perks and you are asking $425 , but that is a bit over my budget . will you take $297 for it ? ",init-price
1774,"sorry , $297 doesn't cover the parts added and bike . ",disagree
1775,oh i see . how about $325 max and i will pick it up ? ,counter-price
1776,i can go as low as $375 an you pick it up . ,counter-price
1777,it's just to good to give up . i will pay your $375 and pick it up from your residence . when will you be available for pick-up ? ,inquire
1778,great ,agree
1779,<end>,<end>
1780,hi . it's nice . ,intro
1781,could you do it for 1950 ? ,init-price
1782,i could go down to 1900 ,counter-price
1783,okay . ,agree
1784,ok so when would you like to meet ,inquire
1785,<end>,<end>
1786,"hi , how are you ! ? ",intro
1787,hi i am interested in your apartment could you tell me more about it . ,intro
1788,what is the size of the unit and are any utilities included ? ,inquire
1789,the unit advertised for 979 is our 1 bedroom . all utilities are included . ,inform
1790,"ok not too bad i was looking for a little bit lower rent per month , do you by any chance have any specials going on ? i really need to be around $825 ",init-price
1791,"if you are willing to come in and sign our 13 month lease today , i can waive your deposit . this would still keep rent at 979 but overall save you almost 1000 dollars ",counter-price
1792,that is a pretty good deal . i would be willing to sign a 24 month lease if you could get it down to $900 ,counter-price
1793,"okay , thats a deal . you have to be in my office before close today to make this deal ! ",agree
1794,<end>,<end>
1795,"hi , i am interested in your bike ! ",intro
1796,"alright , i hate to go all meta here , but i've attempted this crap like a dozen times and people keep quitting on me because they don't know how to haggle , and the only time it went smoothly the chat got auto-rejected anyway ",unknown
1797,i have had that issue a bit too today which is very frustrating but hopefully this one works out ! i have made 8 dollars on these ones so far so its worth it ! ,init-price
1798,screw it; this just isn't worth my time . people are morons and so is the requester . ,disagree
1799,<end>,<end>
1800,hi ,intro
1801,"hi , i understand you are interested in this awesome rental property . what questions do you have for me ? ",intro
1802,it looks like a lovely apartment i must say . can you tell me how old is the property ? and what's in the vicinity ? ,inquire
1803,<end>,<end>
1804,"i'm loving your phone . i wish it were a rose colored , but am interested . ",intro
1805,only thing is i'm on a strict budget and can afford about $130 . would you be wiling to lower your price ? ,init-price
1806,"it is a great phone ! i completely understand being on a strict budget , but i can't go that low . the lowest i can take at the moment is $270 . ",counter-price
1807,oh man . . . . would you be willing to do $170 if i pay cash today ? ,counter-price
1808,"sorry , can't do $170 . i know it's a great phone and will sell for close to what i'm asking . ",disagree
1809,i can't go that high . sorry . ,disagree
1810,"i'd like to buy a case since i really don't care for silver , but can't if i pay the whole amount . how about $200 ? ",counter-price
1811,that is still quite a bit lower than i'm willing to accept . my final offer is $250 . that will give you some extra to buy a case . ,counter-price
1812,<end>,<end>
1813,hi i am interested in your apartment which size is 2172 ,intro
1814,"this is the 2 and 3 bedrooms , is this in your range ? ",inquire
1815,oh so the three bedroom is the same price great . ,inform
1816,well it is a bit out of my price range does it include any utilities or anything ? ,inquire
1817,i should have said that some of the 2 bedrooms are this price but generally it is the price range for the 3 bedrooms . all utilities are included with all apartments and there are some other extras too ! ,inform
1818,i was really hoping to stay closer to 1000 do you by any chance have any specials going on right now ? ,inquire
1819,there are specials but let me ask which amount of bedrooms are you looking for ? ,inquire
1820,i really only need 2 ,inform
1821,"none of the 2 bedrooms are that low , are you willing to pay 1800 ? ",init-price
1822,wow that is still a bit much . ,vague-price
1823,is there anyway if i sign a 2 year lease you could come down to 1400 ? i could manage that . ,counter-price
1824,sorry but i don't think we will be able to make a deal if you aren't willing to pay at least 1800 . ,disagree
1825,i can offer additional things but you will need to afford that as minimum ? ,inquire
1826,well it would depend on what else you can include ,inform
1827,"i can include all your utilities , internet , can offer swimming pool and business center . also 24 hour maintenance with laundry concierge available for 50 extra . i can give you access to the clubhouse for 75 extra per month which will include google fiber speed internet , billiards , large tvs and social groups . what do you think ? ",supplemental
1828,<end>,<end>
1829,"hi , you're interested in leasing ? ",intro
1830,yes . i have a few questions though . ,intro
1831,"sure , how can i help you ? ",intro
1832,how far away is it from the shopping centers ? ,inquire
1833,"depends on what you're looking for , there is groceries , clubs , cafes , restaurants all within 5 blocks ",inform
1834,that's great . however is there a lot of traffic ? ,inquire
1835,it can get a bit congested because it's close to downtown . ,inform
1836,can you hear a lot of noise and traffic from inside of the apartments ? ,inquire
1837,"no , none . if you have open windows at rush hour you may hear traffic , but other than that no . ",inform
1838,okay . how many bedrooms do the apartments usually have ? ,inquire
1839,studio to 3 bedrooms ,inform
1840,sounds great . $685 ,init-price
1841,"sure , you can get a spacious studio for that price . ",agree
1842,so do we have deal ? ,inquire
1843,we do . ,agree
1844,<end>,<end>
1845,"hi , is the bike still available ? ",inquire
1846,"yes , it is in good condition and and i am looking for the price of 1100 ",init-price
1847,i see it has a lot of awesome perks along with it . but at the moment my budget is at $550 . is that agreeable ? i will come out and pick it up myself as well . ,counter-price
1848,"this like brand new , i can't go lesser that 950 and the machine has been ridden just 100 miles ",counter-price
1849,<end>,<end>
1850,the apartment is gorgeous . ,supplemental
1851,how is the neighborhood ? ,inquire
1852,the neighborhood is great . ,inform
1853,is there a pool at the complex ? ,inquire
1854,"there is a pool , hot tub , exercise room and and outside basketball court . ",inform
1855,awesome . 2300 is a bit steep for me . how about $1800 ? ,init-price
1856,"well , i could lower the price some . i was thinking about $2100 . ",counter-price
1857,you should come by and take a look . we are generally available from 8:30 to 1 . i could show it to you in the evening as well . ,supplemental
1858,i guess i can swing $2100 . i'll check it out . ,agree
1859,sounds good . when would you like to come ? ,inquire
1860,noon works ,inform
1861,<end>,<end>
1862,hi how are you today ,intro
1863,"hi , i am good and you ? ",intro
1864,im great . are you interested in the bike trailer ? ,intro
1865,i am . can you tell me how old this is ? what condition is it in ? ,inquire
1866,"funny story actually . my neighbor backed over my old one so his insurance bought be a new one . my son is too old for it now so the one that i am selling is brand new , has never even been used . ",inform
1867,"oh my ! well , i am a single mother and my child could really use this . would you be willing to come down on the price considering you got a brand new replacement for your used one ? ",inquire
1868,actually i had pulled out the old one to sell and was going to ask $100 for that one so that is why i am asking that for this one . ,inform
1869,but how much were you thinking ? ,inquire
1870,how would you sell the old one if it was run over by the neighbor ? ,inquire
1871,they ran it over while i was having a garage sale . i was asking 100 for it at that sale . after the accident i did not try to sell it ,inform
1872,i can do $60 for this one . i could get it today with cash in hand . ,init-price
1873,if we can meet in the middle at $80 we have a deal . ,counter-price
1874,$75 is the highest i can go at this time . ,counter-price
1875,deal ,agree
1876,<end>,<end>
1877,"hi , i am very interested in your listing ",intro
1878,"hello , i've had the listing up for awhile . the bikes are the same in looks but 1 is a boys and 1 a girls . they are in good shape . i am asking $25 for the pair . ",init-price
1879,"i see that i will have to purchase new tubes and probably new seats . due to this , would you be willing to take $17 i will come to you for pick up . at your earliest convenience ",counter-price
1880,"since they have been here awhile and i need the space they are taking up , i will accept $17 . you can pick them up whenever you want . ",agree
1881,deal ! ,agree
1882,<end>,<end>
1883,hi ,intro
1884,hello i am very interested in the apartment homes you have listed . ,intro
1885,is it close to any major shopping centers ? ,inquire
1886,"honestly , i don't know . ",inform
1887,i have a lot of properties . ,supplemental
1888,it is the ridgecrest apartments . ,unknown
1889,i couldn't say exactly how far the shopping areas are . ,unknown
1890,i am on a tight budget as i just moved here (hence why i'm not familiar with the area) . would you take less ? ,vague-price
1891,i might come down a little . what do you have in mind ? ,inquire
1892,are utilities included ? ,inquire
1893,i'm afraid not . ,inform
1894,okay then how about $1955 ? ,init-price
1895,if you can sign a 2 year lease i'll bring it down to 2050 . ,counter-price
1896,that won't work . i will only be in the area for a year . ,disagree
1897,i'll do a one year lease for 2100 ,counter-price
1898,"still more than i can afford , thank you for your time . ",disagree
1899,would you be willing to pay 2075 ? ,counter-price
1900,<end>,<end>
1901,hello ,intro
1902,"hello , i am interested in this tv . ",intro
1903,how old is it ? ,inquire
1904,it is pretty much new . i got it about two months ago and it is in perfect condition . ,inform
1905,does it come with all the cables and paperwork ? ,inquire
1906,yes it does . ,inform
1907,"okay , great ! i am very interested in it . are you willing to come down any on the price ? i would be willing to meet today with cash in hand . ",vague-price
1908,"yes , sure . how much are you hoping to spend on it ? ",inquire
1909,i was hoping to not go over $800 . ,init-price
1910,"hey , that is fine by me . i am willing to give it to you for 800 dollars . ",agree
1911,"okay , great ! you got yourself a deal ! ! ",thanks
1912,<end>,<end>
1913,hello ,intro
1914,hello . what are you looking for ? ,intro
1915,"i am looking for a studio , what's the price please ? ",inquire
1916,$2172 . ,init-price
1917,"hmm , i was expecting something less than that . ",vague-price
1918,are utilities included ? ,inquire
1919,yes they are . i am willing to negotiate . what else would you like to ask ? ,inform
1920,"i am new in the area , are you close to city center ? ",inquire
1921,yes we are just 5 miles from there . ,inform
1922,we have beautiful walkways to that lead out toward the city center . ,supplemental
1923,"oh , 5 miles is too far to walk for my job . is it a gated community ? ",inquire
1924,yes it is a gated community and dogs and cats are allowed . but there is a bus that runs every day that is free for residents . ,inform
1925,"ok , do you need a deposit too ? ",inquire
1926,no deposit . ,inform
1927,what would you like to offer ? ,inquire
1928,how about sign a 2 year contract that for the first year will be 1400$ and the second year you can raise it up to 2000$ . i found a new job in the area and i will be more financial stable after the first year ,counter-price
1929,<end>,<end>
1930,hello ,intro
1931,hello ,intro
1932,are you interested in the tv ? ,intro
1933,i'm the one selling it ,unknown
1934,okay . i'm interested in buying it . lol . ,intro
1935,lol okay . what kind of offer are you wanting to make ? ,inquire
1936,"well , given it's a 1080p and they go $400 new . i'll pay $350 . ",init-price
1937,that's way less than what i was hoping to get . it's in mint condition . i can throw in delivery if you can go higher on it ,vague-price
1938,make me an offer . ,unknown
1939,<end>,<end>
1940,you're interested in this valuable antique blackberry charger ? ,intro
1941,"hello , i am interested in your chargers , would you be willing to lower the price ? ",vague-price
1942,"i'm willing to negotiate , what's your offer ? ",inquire
1943,would you ship them for $20 total ? ,init-price
1944,you got a deal ,agree
1945,<end>,<end>
1946,"checking out the awesome bike , huh ? do you have any questions ? ",intro
1947,"yes , are you including the big bike with the trailer thing or is it separate ? ",inquire
1948,it's for the trailer part . it attaches to your own bike (collar included) to help teach your kids how to shift . ,inform
1949,it looks pretty cool but i see that it has a bit of wear . how would you feel about accepting $50 for it ? ,init-price
1950,"well , that's proof that it's done its job ! we could do $75 , i could throw in a good scrubdown , the warriors flag , and even deliver it for you . :-) ",counter-price
1951,$75 sounds good and if you have a kiddie helmet to keep my kid's noggin safe that would be good . ,agree
1952,"sure do , and it even has a mohawk on it ! ",supplemental
1953,<end>,<end>
1954,"hello , i am interested in these apartments , the price is awfully high , though . ",intro
1955,does it include free laundry facilities ? ,inquire
1956,there is both laundry facilities on site and a laundry concierge service . ,inform
1957,"ok , can it be guaranteed that i get one of the upgraded apartments ? ",inquire
1958,"yes it can , you're one of the first buyers so i can definitely guarantee that . ",inform
1959,"wonderful . would we be able to negotiate a slightly lower price ? $1 , 100 a month is more my budget ",init-price
1960,i can't go that low but we can meet in the middle at 1550 ,counter-price
1961,"$1 , 550 with an upgraded apartment is a deal ! ",agree
1962,<end>,<end>
1963,"hi , are you interested in a new car ? ",intro
1964,i am very interested . ,intro
1965,has the car ever had any damage ? ,inquire
1966,"no , check out the carfax report , its in good shape , no damage . ",inform
1967,"this only has 60k miles , so i'm asking $6500 ",init-price
1968,"i will be upfront with you . my budget is $3250 , do you have any wiggle room on the price of $6500 ? ",counter-price
1969,"i can definitely work with you on the price , why don't you come out and have a look at the car . if you are willing to do a deal for cash , i'd be willing to go down to $5900 ",counter-price
1970,$5900 is definitely too high still . ,vague-price
1971,"i would be willing to do $4000 cash with a 100 , 000 mile warranty and free oil changes for a year . final offer . ",counter-price
1972,<end>,<end>
1973,i see you interested in my home ! ,intro
1974,yes . i am very interested in these homes . ,intro
1975,"i will let you know that this home comes with high speed internet , steel appliances , smoke free , heating , cable ready , walk in closets , dishwashers , and patios ",supplemental
1976,the amenities are great . is it possible to gain a discount if paying the amount in full ? ,inquire
1977,yes i will accept 2100 ! ,init-price
1978,perfect ! ,agree
1979,<end>,<end>
1980,hello there . how many bedrooms is this ? ,inquire
1981,"there are multiple units available , studio , one , two and three bedrooms . ",inform
1982,could i get the one bedroom for a cheaper price ? ,inquire
1983,"currently one bedrooms go for between $2 , 000 for a garden unit or $2800 for a one bed room with 2 baths . ",init-price
1984,<end>,<end>
1985,"hi , i'm interested in your civic . ",intro
1986,when did you get it ? ,inquire
1987,i bought in in 2016 brand new . ,inform
1988,"oh , i was just wondering how many other owners she had since it says here it's a 2001 honda civic . ",unknown
1989,yes i meant i bought it brand new in 2001 and it has been a good car for me for 16 years . i hardly drove it except to work twice a week and doctor's appointments . ,supplemental
1990,"oh , i got it . has it been in any accidents ? ",inquire
1991,no accidents . it has a clean carfax . ,inform
1992,are there any dings or imperfections in the paint ? ,inquire
1993,no the paint is original . there is no imperfections . ,inform
1994,"could you let it go for $3 , 250 ? ",init-price
1995,how about $3500 and i will provide a free year of gas ? ,counter-price
1996,that would work . thanks for being so helpful . ,agree
1997,you are welcome . ,thanks
1998,<end>,<end>
1999,hi ,intro
2000,hi . i am interested in your iphone . ,intro
2001,does it come with a charger ? ,inquire
2002,"yes , i have the charger and new headphones with it . ",inform
2003,awesome ! i would really like this item but it is somewhat out of my current budget . would you be able to go any lower ? maybe close to $225 ,init-price
2004,225 is a bit too low for me . ,vague-price
2005,it has a brand new screen and it works perfectly . i could do 250 ? how does that sound ? ,counter-price
2006,that is great . ,agree
2007,<end>,<end>
2008,hey i'm interested in your antique blackberry charger . ,intro
2009,are you willing to negotiate if i come pick it up today ? ,inquire
2010,"it's not going to sell right away , so i'm willing to bargain . ",inform
2011,what's your offer ? ,inquire
